anio_acci,nro_acci,fecha,desc_dia,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2020,1774,2020-02-08,Sabado,01:30:00,Ruta Nacional 11,0.0,1,Moto/Ciclomotor,Av San Martin Y Silverio Cordoba,1,1,0,0,0,0,0,"-32.736600503464,-60.733892883272",Ruta,11,SAN LORENZO,San Lorenzo,Asfalto,Pavimento,XVII,Dentro,Urbana,Paso Peatonal,No existe,Intersección,Bueno,Buena,"Nocturna,Con luz artificial",Buen Tiempo,S/D,S/D,Despiste,Ninguna,Horizontal,Cordón divisorio,Sin restricción
2020,1775,2020-03-14,Sabado,14:30:00,Autopista Nacional A008,0.0,2,"Bicicleta,Automóvil",Av. Circunvalacion Y Bv. 27 De Febrero,2,1,0,0,1,0,0,"-32.960818, -60.720350",Autopista,A008,ROSARIO,Rosario,Asfalto,Pavimento,II,Dentro,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,Otro,S/D,Ciclista,Atropello,Ninguna,Vertical,"Barrera de hormigón,Cordón divisorio,Vegetación",Sin restricción
2020,1776,2020-05-12,Martes,22:25:00,Autopista Nacional A008,0.0,2,"Moto/Ciclomotor,Automóvil",Bv. 27 De Febrero Y Av. Circunvalacion,3,1,1,0,1,0,0,"-32.97007, -60.62172",Autopista,A008,ROSARIO,Rosario,Asfalto,S/D,II,Dentro,Urbana,S/D,S/D,Intersección,Bueno,S/D,S/D,S/D,S/D,S/D,Colisión,Otro,S/D,S/D,S/D
2020,1777,2020-03-08,Domingo,10:00:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Genaro Roldan Y Peru,3,2,0,0,1,0,0,"-32.732238903463,-60.73806569087",Calle,,SAN LORENZO,San Lorenzo,Asfalto,No existe,XVII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1778,2020-05-12,Martes,17:00:00,,0.0,2,"Pickup/Utilitario,Automóvil",Viamonte Y Larrea,3,1,0,0,2,0,0,"-32.95649, -60.69664",Calle,,ROSARIO,Rosario,Asfalto,S/D,II,Dentro,Urbana,S/D,S/D,Intersección,Bueno,Buena,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D
2020,1779,2020-03-18,Miercoles,06:50:00,Autopista Nacional A008,0.0,1,Automóvil,Av. Circunvalacion Y Av. Eva Peron,1,1,0,0,0,0,0,"-32.933725, -60.723013",Autopista,A008,ROSARIO,Rosario,Asfalto,Pavimento,II,Dentro,Urbana,Marca Vial,No existe,Recta,Otro,Buena,Amanecer,Otro,S/D,S/D,Despiste,Ninguna,Horizontal,Guardarrail,Sin restricción
2020,1780,2020-03-10,Martes,09:10:00,,0.0,2,"Taxi/Remis,Pickup/Utilitario",Av Carlos A Poucel Y Silverio Cordoba,4,3,0,0,1,0,0,"-32.735896625097,-60.737829125471",Avenida,,SAN LORENZO,San Lorenzo,Hormigón,No existe,XVII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1781,2020-05-09,Sabado,09:25:00,,0.0,2,"Vehículo Oficial,Automóvil",Castellanos Y Lamadrid,3,2,0,0,1,0,0,"-32.9983, -60.68741",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Agua,Faltante,Ninguna,Sin restricción
2020,1782,2020-03-19,Jueves,21:20:00,Autopista Nacional A008,0.0,2,"Moto/Ciclomotor,Automóvil",Av. Circunvalacion Y Bv. 27 De Febrero,2,1,0,0,1,0,0,"-32.95966565608978,-60.720778405666",Autopista,A008,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,"Nocturna,Con luz artificial",Buen Tiempo,De alcance,S/D,Colisión,Ninguna,Faltante,Guardarrail,Sin restricción
2020,1783,2020-03-25,Miercoles,16:00:00,,0.0,1,Moto/Ciclomotor,Av Costanera Y M Diaz Velez,2,2,0,0,0,0,0,"-32.71783769130709,-60.739175677299",Avenida,,SAN LORENZO,San Lorenzo,Asfalto,No existe,XVII,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,Contra objeto fijo,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
