anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2018,10037,2018-03-29,Jueves,0,10:00:00,,0.0,2,"Otros,Moto/Ciclomotor",Cordoba Y Castellanos,2,0,1,0,0,0,1,"-32.939803, -60.675050",Calle,,ROSARIO,Rosario,Hormigón,No existe,II,Dentro,Urbana,Semáforo,Funciona,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,"Horizontal,Vertical",Ninguna,Sin restricción
2018,10038,2018-03-14,Miercoles,0,02:00:00,Ruta Provincial 18,0.0,1,Otros,Av. Ovidio Lagos Y Copacabana,1,0,1,0,0,0,0,"-33.028149, -60.681751",Ruta,18,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,S/D,S/D,Nocturna,S/D,S/D,S/D,S/D,S/D,Faltante,Ninguna,S/D
2018,10039,2018-03-15,Jueves,0,04:30:00,Autopista Nacional A008,0.0,2,"Moto/Ciclomotor,Otros",Av. Circunvalacion ,2,0,1,0,0,0,1,"-32.997115, -60.695735",Autopista,A008,ROSARIO,Rosario,Asfalto,Pavimento,II,Dentro,Urbana,S/D,S/D,Recta,S/D,S/D,Nocturna,S/D,S/D,S/D,Colisión,S/D,S/D,Guardarrail,S/D
2018,10040,2018-03-24,Sabado,0,16:12:00,,0.0,1,Otros,Bv. Segui Y Iriondo,2,0,1,0,0,0,1,"-32.973385, -60.677804",Avenida,,ROSARIO,Rosario,Hormigón,No existe,II,Dentro,Urbana,Paso Peatonal,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Horizontal,"Cordón divisorio,Línea divisoria pintada",Sin restricción
2018,10041,2018-03-18,Domingo,0,16:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Soldado Aguirre ,3,2,0,0,0,0,1,"-33.029548, -60.646598",Calle,,VILLA GOBERNADOR GÁLVEZ,Rosario,Asfalto,No existe,II,Dentro,Urbana,S/D,S/D,Recta,S/D,S/D,Diurna,S/D,S/D,S/D,Colisión,S/D,Faltante,Cordón divisorio,S/D
2018,10042,2018-04-03,Martes,0,01:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Av. Uriburu Y Bv. Avellaneda,2,2,0,0,0,0,0,"-32.991970, -60.688878",Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Semáforo,Funciona,Intersección,S/D,S/D,Nocturna,S/D,S/D,S/D,Colisión,S/D,Vertical,Cordón divisorio,S/D
2018,10043,2018-09-07,Viernes,0,12:10:00,Ruta Nacional 11,0.0,3,"Automóvil,Camión c / Acoplado,Moto/Ciclomotor",Calle 7-Sarmiento Y Ruta Nacional 11,4,0,1,0,3,0,0,"-29.138872, -59.655355",Ruta,11,RECONQUISTA,General Obligado,Asfalto,No existe,IX,Dentro,Urbana,Ninguna,No existe,Intersección,S/D,S/D,Diurna,S/D,Múltiple,S/D,Colisión,S/D,Faltante,Cordón divisorio,S/D
2018,10044,2018-09-25,Martes,0,18:10:00,Ruta Provincial 13,90.0,1,Automóvil, ,1,1,0,0,0,0,0,"-31.732549, -61.804054",Ruta,13,SASTRE,San Martín,Asfalto,Natural,XVIII,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Vuelco,Ninguna,Horizontal,Línea divisoria pintada,Sin restricción
2018,10045,2018-09-07,Viernes,0,,,0.0,2,"Pickup/Utilitario,Moto/Ciclomotor",Dorrego Y Hipolito Irigoyen,2,1,0,0,1,0,0,"-31.897814, -61.855610",Calle,,SAN JORGE,San Martín,Asfalto,No existe,XVIII,Dentro,Urbana,Ninguna,No existe,Intersección,S/D,S/D,S/D,S/D,Lateral,S/D,Colisión,S/D,Faltante,Ninguna,Sin restricción
2018,10046,2018-09-08,Sabado,0,07:20:00,,0.0,1,Moto/Ciclomotor,Colon Y Viamonte,2,1,0,0,1,0,0,"-32.967572, -60.630252",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,S/D,S/D,Diurna,S/D,S/D,S/D,Caída ocupante,Ninguna,Faltante,Ninguna,Sin restricción
